adm2_code,year,phen_gup,phen_dor,yield
US31105,2018,132,301,118.2848
US31107,2018,125,301,179.3124
US31109,2018,121,290,160.25214
US31111,2018,133,294,162.52309
US31113,2018,136,295,161.92088
US31115,2018,106,308,166.55392
US31119,2018,137,289,181.45944
US31121,2018,131,288,186.27808
US31123,2018,121,303,172.08937
US31125,2018,127,290,184.57668
US31127,2018,124,285,171.22826
US31129,2018,118,288,151.87991
US31131,2018,122,287,162.4081
US31133,2018,107,293,132.11919
US31135,2018,121,291,140.68951
US31137,2018,141,286,205.40013
US31139,2018,136,291,192.11455
US31141,2018,139,285,188.7123
US31143,2018,138,284,196.93593
US31145,2018,101,293,148.90959
US31147,2018,121,287,149.7191
US31149,2018,131,299,168.77742
US31151,2018,126,283,180.6095
US31153,2018,128,288,167.7359
US31155,2018,135,286,184.73547
US31157,2018,142,300,175.43564
US31159,2018,136,285,181.8599
US31161,2018,113,300,144.00163
US31163,2018,125,299,183.37672
US31165,2018,128,306,172.62436
US31167,2018,127,294,191.91571
US31169,2018,129,284,175.7946
US31173,2018,136,291,203.91406
US31175,2018,125,300,188.68326
US31177,2018,132,289,177.52385
US31179,2018,138,293,201.63869
US31181,2018,115,290,160.93225
US31183,2018,125,297,177.39172
US31185,2018,139,285,204.56015
US34005,2018,89,301,139.49493
US34019,2018,97,323,149.27708
US34033,2018,95,316,119.2121
US34041,2018,106,310,164.02344
US35059,2018,114,294,152.45894
US36009,2018,98,332,130.78455
US36011,2018,104,326,156.32431
US36013,2018,97,335,141.66182
US36017,2018,100,329,137.5419
US36019,2018,115,326,163.03392
US36021,2018,102,324,150.74158
US36029,2018,93,335,140.81879
US36037,2018,100,330,151.44739
US36043,2018,102,334,157.48012
US36045,2018,105,331,148.275
US36049,2018,104,328,147.57777
US36051,2018,107,323,164.771
US36053,2018,101,333,147.30116
US36055,2018,102,321,158.29704
US36057,2018,103,328,159.26112
US36063,2018,103,328,161.59239
US36065,2018,104,328,151.39397
US36067,2018,101,330,152.94281
US36069,2018,101,331,144.2492
US36073,2018,104,321,160.43843
US36077,2018,99,334,148.77802
US36083,2018,107,321,152.95496
US36089,2018,108,329,135.5955
US36099,2018,110,320,154.46017
US36101,2018,105,328,140.21349
US36109,2018,99,333,145.78438
US36115,2018,105,325,156.26237
US36117,2018,108,318,164.49084
US36121,2018,98,336,158.34785
US36123,2018,98,337,147.78363
US37007,2018,69,294,113.10914
US37013,2018,88,288,141.63449
US37015,2018,96,302,130.83748
US37017,2018,86,305,118.761345
US37019,2018,83,306,111.689545
US37029,2018,89,281,159.84723
US37031,2018,93,277,135.5422
US37047,2018,76,303,118.2018
US37049,2018,100,301,122.862175
US37051,2018,84,296,114.45316
US37053,2018,86,289,160.1046
US37057,2018,76,299,98.50143
US37059,2018,80,292,131.78603
